# CS2 抽奖模拟器 · 游戏大题库
# 格式：分类|题干|选项A|选项B|选项C|选项D|正确序号(0-3)|解析
# 以 # 开头的行会被忽略；每行一道题；字段内不可含竖线。

魔女的夜宴|《魔女的夜宴》中，关于户隐憧子，下列叙述何者正确？|她是一年级学生，真实身份是黑猫艾尔普|她是 3 年级学生会长，真实身份是当年与柊史母亲缔结契约的魔灵（艾尔普）|她是 2 年级学生，契约对象是赤城|她是班主任，暗恋海道秀明|1|憧子是 3 年级学生会长、3 年级的偶像，实际是爱捉弄人的抖 S；其个人线揭示她正是当年与柊史母亲缔结契约的魔灵（艾尔普）。
魔女的夜宴|《魔女的夜宴》中，关于仮屋和奏，下列叙述何者正确？|她是 3 年级学生，担任学生会副会长|她在一周目即可攻略，是五位女主中与魔法关联最深的一位|她为买吉他在 Schwarze Katze 打工，并在万圣节派对的临时乐队中担任吉他兼主唱|她在临时乐队中担任鼓手，暗恋班主任久岛佳苗|2|和奏是柊史同班同学兼青梅竹马，金色短发、个子娇小，爽快且略带毒舌；为买吉他在 Schwarze Katze 打工，万圣节派对与海道秀明、柊史组成三人临时乐队并担任吉他兼主唱，海道秀明是鼓手且暗恋班主任久岛佳苗；和奏仅二周目可攻略，是五位女主中唯一与魔法无直接关联的一位。
魔女的夜宴|关于《魔女的夜宴》的艾尔普，下列叙述何者正确？|相马七绪的本体是黑猫，赤城的本体是渡鸦|相马七绪的本体是渡鸦，赤城的本体是黑猫|相马七绪与赤城都能变成真正的人类|相马七绪的契约对象是椎叶䌷|0|咖啡店 Schwarze Katze（德语意为黑猫）由相马七绪经营，其本体是黑猫艾尔普、与宁宁缔结契约；赤城是鸟的艾尔普、本体为渡鸦，口癖「吾辈」，是椎叶䌷与木月千穗子的契约对象，50 年前的挚友是䌷的外婆；艾尔普由动物变化而成，收集碎片可习得念话、通人语、化人形，但无法成为人类，也不能使用现实改写级大魔法。
魔女的夜宴|《魔女的夜宴》中，木月千穗子（小千）与因幡巡是什么关系，她作为契约者付出的代价是什么？|她是巡的高中同班同学，代价是被迫男装|她是巡的表姐，代价是强制发情|她是巡的游戏网友，代价是失去味觉|她是巡初中时期唯一的挚友，代价是逐渐遗忘身边的人|3|千穗子是巡初中时期唯一的挚友，与艾尔普赤城缔结契约，代价是逐渐遗忘身边的人。
魔女的夜宴|《魔女的夜宴》中，主角保科柊史拥有的能力是什么？|使用魔法改写现实|以五感感知他人情绪，该能力继承自曾是魔女的母亲|用大锤采集心之碎片|预知未来并时间跳跃|1|柊史是 2 年级学生，能力是以五感感知他人情绪，继承自曾是魔女的母亲保科唯；强烈负面情绪会让他身体不适，因此他几乎不拒绝他人请求；他本身不是魔女，也不能成为魔女。
魔女的夜宴|《魔女的夜宴》中，关于心之碎片与心之穴，下列叙述何者正确？|心之穴只会让魔女短暂失去魔力，没有任何危险|心之碎片只能从魔女身上采集|从情绪不充盈者身上夺走碎片会形成心之穴，导致无气力，最坏可致死|心之穴是魔女用来存放碎片的道具|2|魔女与艾尔普契约后收集心之碎片，集满可实现一个愿望；从情绪不充盈者身上夺走碎片会形成心之穴，导致无气力，最坏可致死。
魔女的夜宴|关于《魔女的夜宴》的魔法规则，下列叙述何者正确？|一人一生只能使用一次魔法，代价可由他人代偿但会更重|魔女装对任何人都清晰可见|签约前契约代价的内容由魔女自行指定|代价与愿望的规模无关，可以无限次使用魔法|0|契约期间被强制征收魔力即代价，代价内容签约前连艾尔普也不知道，与愿望规模成正比，可由他人代偿但更重；一人一生只能用一次魔法；赋予身体能力的魔法会遗传给子女；魔女装对与魔法无关的人不可见。
魔女的夜宴|《魔女的夜宴》中，故事开端中，柊史在图书室撞见因代价突然发情的宁宁，次日他送还什么物品时意外吸走了她收集的心之碎片？|魔法枪|大锤|咖啡店的会员卡|生徒手帐|3|柊史在图书室撞见因代价突然发情、正以桌角自慰的宁宁；次日送还她遗落的生徒手帐时意外吸走了她收集的心之碎片，两人成为共享秘密的伙伴。
魔女的夜宴|《魔女的夜宴》的核心冲突是什么？|柊史会失去感知他人情绪的能力|宁宁的愿望实现后，她的存在与记忆会从那个世界被彻底抹消|超自然研究部会被学校废除|相马七绪会变回普通黑猫并失去语言能力|1|宁宁的愿望是让父母离婚这件事没发生过，需要时间跳跃到父母离婚之前；核心冲突在于愿望实现后，她的存在与记忆会从那个世界被彻底抹消。
ATRI|《ATRI》世界观中，地表大部分沉入海中的直接原因是？|持续的世界大战|大规模地震引发的地层下沉|原因不明的海面上升|巨大陨石撞击|2|故事设定在原因不明的海面上升导致地表大部分沉入海中的近未来，夏生老家也已沉入海底。
ATRI|《ATRI》中，关于夏生的祖母八千草乃音子，下列描述正确的是？|她是海洋地质学者，留下了小型船、潜水艇与债务，并在海底留有仓库|她是凯瑟琳的本名，专门在各地追讨债务|她是野岛龙司的母亲，经营着町工厂|她是学院的校长，召回休学的夏生返校本|0|八千草乃音子是夏生的祖母、海洋地质学者，也是亚托莉的原主人，她遗留了小型船、潜水艇与债务，海底还有「祖母的仓库」。
ATRI|《ATRI》中被称为「学院」的设施是？|打捞业者的同业公会|本土的精英养成学校|海底的机器人研究所|收容战争孤儿的福利院|1|「学院」是本土的精英养成学校，夏生原本在此就读，后因事休学。
ATRI|《ATRI》中，主角斑鳩夏生的年龄、学年以及过往经历，对应正确的是？|18岁、高三，因町工厂倒闭而颓废，是当地孩子头目|16岁、高一，家人前往本土避难，独自留下照顾孩子|10岁、小五，无依无靠住在学校里|17岁、高二，因事故失去母亲与右腿而装上义足，从学院休学|3|斑鳩夏生 17 岁、高二，幼年事故中失去母亲与右腿，右腿为义足，并因此从学院休学，居住在祖母遗留的小船上。18 岁的高三是野岛龙司，16 岁的是神白水菜萌，10 岁的是名波凜花。
ATRI|《ATRI》中，亚托莉是夏生与凯瑟琳潜向海底仓库后打捞上来的机器人少女，她出水时所处的装置是？|大型金库|棺状装置|球形耐压舱|老式洗衣机|1|亚托莉是从海底打捞上来的机器人少女，被发现时睡在棺状装置中。
ATRI|《ATRI》中，关于神白水菜萌，下列描述正确的是？|24岁、社会人，是学院的教师，负责监视夏生|15岁、初三，自称讨债人，向夏生追讨祖母的债务|18岁、高三，是当地孩子头目，自家町工厂因海面上升停业|16岁、高一，是夏生的青梅竹马，家人已去本土避难，她独自留下照顾无依孩童|3|神白水菜萌 16 岁、高一，是夏生的青梅竹马，家人已前往本土避难，她独自留下照顾无依无靠的孩子。
ATRI|《ATRI》中，关于野岛龙司，下列描述正确的是？|17岁、高二，带义足，从学院休学回到海边小镇|18岁、高三，体格好，自称当地孩子头目，因自家町工厂沉没停业而颓废|10岁、小五，住在学校里，是夏生打捞工作的帮手|自称讨债人的神秘女性，疑似使用假名|1|野岛龙司 18 岁、高三，体格好，是当地孩子的头目，自家町工厂因海面上升沉没而停业，本人因此颓废。
ATRI|《ATRI》中，野岛龙司邀请夏生入伙时的名台词是？|在下沉的世界里，我找到了你。|高性能因为！|要不要跟我一起干打捞？|在那之前，我来当夏生的腿。|2|「要不要跟我一起干打捞？」是野岛龙司招揽夏生一起做打捞生意时的名台词；第一项是本作宣传语，第二项是亚托莉的口癖，第四项出自亚托莉的台词。
ATRI|《ATRI》中，关于凯瑟琳，下列描述正确的是？|16岁、高一的青梅竹马，独自留下照顾孩子|TV 动画版监督，负责本作全部演出|自称讨债人的神秘女性，提出打捞海底遗产的计划，疑似使用假名|夏生的祖母，海洋地质学者，亚托莉的原主人|2|凯瑟琳自称是讨债人，实为神秘女性，向夏生提出打捞海底遗产的计划，其名被认为可能是假名。
ATRI|《ATRI》中，关于名波凜花，下列描述正确的是？|官方标注「？岁」的机器人少女，睡在棺状装置中|10岁、小五，无依无靠住在学校里，给夏生起了外号「杀手」|16岁、高一，夏生的青梅竹马，照顾当地孩童|18岁、高三，当地孩子头目，劝夏生一起做打捞生意|1|名波凜花 10 岁、小学五年级，无依无靠住在学校里，给夏生起了外号「杀手」。
ATRI|《ATRI》中，夏生放弃都市生活搬到海边乡下后，与凯瑟琳潜向海底仓库并打捞上来的对象是？|沉没的町工厂设备|学院的教材|机器人少女亚托莉|祖母遗留的金库|2|主线中夏生与凯瑟琳潜向海底的「祖母的仓库」，打捞上来的是睡在棺状装置中的机器人少女亚托莉。
幸运草的约定|《幸运草的约定》官方网站对游戏类型（类型）的标注是？|与双胞胎女孩恋爱的现代学园 ADV|战国时代历史模拟|科幻机甲战斗|恐怖悬疑推理|0|官方规格页把本作类型标为「与双子女孩相恋的现代学园 ADV」。
幸运草的约定|《幸运草的约定》与 ALcot 的哪一部作品共享同一个世界观？|才没有那种背后的人！|青梅竹马是总统|捉迷藏！|Clover Heart's|3|本作与 ALcot 处女作《Clover Heart's》共享世界观，萌系游戏大赏的讲评也指出本作舞台设定在该作 10 年之后。
幸运草的约定|《幸运草的约定》故事的时间线设定在前作《Clover Heart's》的多久之后？|前作故事的1年之后|前作故事的3年之后|前作故事的10年之后|前作故事的30年之后|2|官方设定与萌系游戏大赏讲评都写明，本作舞台是《Clover Heart's》的 10 年后。
幸运草的约定|下列哪一位参与了《幸运草的约定》的剧本创作？|丸戸史明|濑尾顺|新岛夕|漆原雪人|1|官方规格页列出的剧本担当为空下元、宫藏、濑尾顺、保住圭四人。
幸运草的约定|后续推出的《Clover Day's Plus》相对原版主要追加了什么内容？|追加了全 3D 化的角色建模|追加了 E-mote 动态演出（动态立绘与动态 CG）|追加了 5 条全新攻略路线|由 R-18 改为全年龄向|1|Plus 版为原版追加了大受好评的 E-mote 动态演出效果，国际中文版即以 Plus 版为蓝本制作。
幸运草的约定|《幸运草的约定》中，官方故事介绍中，主人公鹰仓优人来到日本之前的经历是？|在日本的双亲家中长大，十岁时被送往英国留学|被父母抛弃、在英国的福利设施中长大，后被从事贸易工作的鹰仓义臣收养|在英国出生，父母双亡后随姐姐移居日本|原本就是鹰仓家的亲生儿子，幼时因事故失去记忆|1|官方故事介绍写明，优人被父母抛弃、在英国的福利设施中长大，之后被从事贸易工作的鹰仓义臣收养，并随他来到日本。
世界计划 缤纷舞台|《世界计划 缤纷舞台！feat. 初音未来》官方标明的游戏类型是什么？|音乐 & 对战游戏|恋爱 & 养成游戏|动作 & 解谜游戏|节奏 & 冒险游戏|3|官方类型为节奏 & 冒险游戏，属于基本免费加道具收费的手机音乐游戏，登陆 iOS 与 Android。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，关于游戏中的「SEKAI」，下列哪种说法是正确的？|每个组合共享同一个 SEKAI，共用一个舞台|只有拥有相同心念的人才能够在同一个 SEKAI 相遇|任何人都可以自由进入任意一个 SEKAI|SEKAI 是官方运营的线上演唱会会场，与现实心念无关|1|SEKAI 由人们的心念创造，只有拥有相同心念的人才会在同一个 SEKAI 相遇，各组合心念与曲风不同，SEKAI 也各不相同。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，在 SEKAI 中反复出现、象征「心念」的几何形状是什么？|五角星|螺旋形|不规则的三角形|正六边形|2|不规则三角形象征心念，其温度与颜色会随着心情而变化。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，连接各个 SEKAI 之间的空白 SEKAI，被称为什么？|SEKAI 的回廊|SEKAI 的终端|SEKAI 的庭院|SEKAI 的夹缝|3|各 SEKAI 之间的空白 SEKAI 被称为「SEKAI 的夹缝」。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，想要进入 SEKAI，需要播放一首什么样的曲子？|名为「Untitled」的曲子，且只有拥有强烈思念的人身上才会出现|名为「Untitled」的曲子，任何人都能在应用商店下载|名为「Untitled」的曲子，由虚拟歌手当场创作并演唱|名为「Untitled」的曲子|0|进入 SEKAI 需播放名为「Untitled」的曲子，它无歌词无旋律，与 SEKAI 同时诞生，且只会出现在拥有强烈思念的人身上。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，关于「Untitled」，下列描述哪一项正确？|它从诞生之初就带有完整的歌词与旋律|它无歌词无旋律，与 SEKAI 同时诞生|它必须先购买 DLC 才会出现|它是六名虚拟歌手的合唱曲|1|「Untitled」没有歌词也没有旋律，与 SEKAI 同时诞生，是通往 SEKAI 的入口。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，当角色找到「真正的心念」后，「Untitled」会发生什么变化？|自动消失，SEKAI 也随之关闭|变成另一首既有的翻唱曲|被替换为组合的队名|获得旋律与歌词，与虚拟歌手合唱后获得名字|3|找到真正的心念后，「Untitled」获得旋律与歌词，与虚拟歌手合唱后获得名字，也就是各组合的歌曲名。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，游戏主线剧情中主要描写的两所学校是哪两所？|神山高校与樱丘女子高校|涩谷第一高校与宫益坂高校|宫益坂女子学园与神山高校|宫益坂女子学园与音滨高校|2|主要学校是宫益坂女子学园与神山高校，故事舞台在现实世界的涩谷一带。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，Leo/need 的成员组合是哪一组？|花里实乃理、桐谷遥、桃井爱莉、日野森雫|星乃一歌、天马咲希、望月穗波、日野森志步|星乃一歌、天马咲希、桐谷遥、日野森雫|小豆泽心羽、白石杏、东云彰人、青柳冬弥|1|Leo/need 由星乃一歌、天马咲希、望月穗波、日野森志步四人组成。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，Leo/need 中担任吉他兼主唱的是谁？|天马咲希|望月穗波|日野森志步|星乃一歌|3|星乃一歌担任吉他兼主唱，身高 161cm，就读宫益坂女子学园 1-C。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，Leo/need 的成员望月穗波在乐队中负责演奏什么乐器？|鼓|贝斯|键盘|小提琴|0|望月穗波担任鼓手，身高 166cm，是宫益坂女子学园 1-B 的文武双全优等生。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，MORE MORE JUMP! 中，曾经是偶像组合 ASRUN 成员的是谁？|日野森雫|花里实乃理|桐谷遥|桃井爱莉|2|桐谷遥曾是 ASRUN 成员，身高 163cm，就读宫益坂女子学园 1-C。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，现役偶像日野森雫所属的偶像组合叫什么？|Phoenix Wonderland|Cheerful＊Days|ASRUN|BAD DOGS|1|日野森雫是现役偶像，属于 Cheerful＊Days，身高 168cm，就读宫益坂女子学园 2-D。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，Wonderlands×Showtime 中，负责操纵「宁宁机器人」的是谁？|天马司|凤笑梦|神代类|草薙宁宁|3|草薙宁宁负责操纵「宁宁机器人」，身高 156cm，就读神山高校 1-B。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，Wonderlands×Showtime 的天马司与 Leo/need 的哪位成员是兄妹关系？|望月穗波|日野森志步|天马咲希|星乃一歌|2|天马司是咲希的哥哥，身高 172cm，就读神山高校 2-A。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，「25 点，Nightcord 见。」中担任主要作曲的是谁？|宵崎奏|朝比奈真冬|东云绘名|晓山瑞希|0|宵崎奏主要负责作曲，身高 154cm，就读通信制高校。
世界计划 缤纷舞台|《世界计划 缤纷舞台》中，下列哪一首是各组合在「Untitled」获得名字后对应的歌曲名之一？|Leo/need 的歌曲名为 Phoenix Wonderland|Leo/need 的歌曲名为 needLe|Leo/need 的歌曲名为 Untitled|Leo/need 的歌曲名为 RAD WEEKEND|1|Leo/need 的歌曲名为 needLe，其他组合分别对应 偶像新锐队、Ready Steady、世界甚至还未开始、写作悔恨的未来。
猫娘乐园|《猫娘乐园》世界观中关于人型猫娘的设定，正确的是？|1 岁即成年，此后外观几乎不变且寿命很长|与人类完全一样，10 岁成年|每 10 年外观改变一次，寿命比人类短|成年后就会变回普通的猫|0|人型猫娘被设定为「1 岁即成年，此后外观不变、寿命很长，与人相似却不同的生物」。
猫娘乐园|《猫娘乐园》中，主角水无月嘉祥离开老家的老牌和菓子店独立后，开设的西点店店名是？|真实家庭|甜蜜|飘香|La Soleil|3|嘉祥是 La Soleil 的店长兼糕点师，游戏版中他没有配音；他离开的是历史悠久的和菓子老店。真实家庭、甜蜜、飘香分别是 After、Vol.2、Vol.3 的副标题。
猫娘乐园|《猫娘乐园》中，关于水无月时雨，下列说明正确的是？|嘉祥的姐姐，在 La Soleil 担任糕点师|猫娘之一，负责照顾年幼的巧克力与香草|老牌和菓子店的店主，反对嘉祥独立|嘉祥的亲妹妹，也是猫娘们的饲主，具有经商才能并私下经营自己的公司|3|时雨是嘉祥的亲妹妹兼猫娘们的饲主，有经商才能、私下经营着自己的公司。
猫娘乐园|《猫娘乐园》Vol.1 的副标题是？|La Soleil 开店啦！|水无月猫娘们的日常！|甜蜜猫娘姐妹|飘香猫娘姐妹|0|『猫娘乐园 Vol.1 La Soleil 开店啦！』于 2014-12-29 发售，描写嘉祥开设 La Soleil 的故事。
猫娘乐园|《猫娘乐园》中，Vol.2『甜蜜猫娘姐妹』的剧情主要围绕哪两只猫娘过去关系亲密、如今却总吵架展开？|巧克力与香草|红豆与可可夏|枫与桂|巧克力与红豆|1|Vol.2 描写红豆与椰子过去关系很好、如今总吵架的故事，该作于 2016-02-19 发售。
猫娘乐园|《猫娘乐园》中，Vol.3『飘香猫娘姐妹』主要描写哪只猫娘追逐梦想、遭遇挫折的故事？|巧克力|桂|可可夏|枫|3|Vol.3 中自尊心强、头脑快的枫在追梦路上碰壁，该作于 2017-05-26 发售。
猫娘乐园|《猫娘乐园》中，Extra『小猫之日的约定』描写的是什么内容？|嘉祥在法国开设 La Soleil 的分店|幼猫时期的巧克力与香草来到水无月家，并在那年的圣诞与嘉祥立下约定|母亲淡雪的生日派对|猫娘们去海边旅行的暑假|1|Extra 是 Vol.1 之前的前日谭，描写幼猫巧克力与香草来到水无月家、并在那年圣诞与嘉祥立下约定，于 2018-08-10 发售。
猫娘乐园|《猫娘乐园》中，Vol.4『猫与糕点师的圣诞』的剧情要点是？|时雨的公司成功上市|枫前往法国留学|母亲淡雪生日，父亲州滨归家并批评嘉祥|嘉祥与巧克力举办婚礼|2|Vol.4 于 2020-11-27 发售，围绕母亲淡雪的生日以及归家的父亲州滨对嘉祥的批评展开。
猫娘乐园|《猫娘乐园》中， After『真实家庭』的剧情要点是？|嘉祥关闭 La Soleil 回到和菓子老店|猫娘们参加选美比赛|时雨把公司转让给嘉祥|法国的店铺把饲猫芙蕾丝托付给嘉祥|3|After 描写法国的店铺把饲猫芙蕾丝托付给嘉祥，是系列的新作，于 2025-06-13 发售。
猫娘乐园|《猫娘乐园》中，关于双胞胎猫娘巧克力与香草，下列说明正确的是？|两人都是缅因猫，3 岁|两人都是混种，9 个月大，是水无月家最年幼的姐妹|两人都是美国卷耳猫，2 岁|两人都是苏格兰折耳猫，1 岁|1|巧克力开朗直率、是行动力旺盛的努力家，也是 Vol.1 的主女主角与 TV 动画版主角；香草话少文静、洞察力强。两人都是混种，Vol.1 时点 9 个月大，是水无月家最年幼的姐妹。
猫娘乐园|《猫娘乐园》中，关于红豆，下列说明正确的是？|美国卷耳猫，2 岁，怕黑|缅因猫，1 岁，手极笨|混种，9 个月，话少文静|曼基康猫（曼基康），3 岁，是水无月家猫中的长女，对短腿有自卑感|3|红豆自由奔放、任性嘴坏，「短足」是她的禁句；她是曼基康猫（曼基康），Vol.1 时点 3 岁，是水无月家猫中的长女。
猫娘乐园|《猫娘乐园》中，关于枫，下列说明正确的是？|美国卷耳猫（美国卷耳），2 岁，怕黑且最怕烫|曼基康猫，3 岁，对短腿有自卑感|苏格兰折耳猫，2 岁，是猫们的「妈妈」|缅因猫，1 岁，对时雨忠诚|0|枫自尊心强、头脑快，是一只高傲的猫，只对时雨撒娇，而且怕黑、最怕烫（猫舌）；她是美国卷耳猫（美国卷耳），Vol.1 时点 2 岁。
猫娘乐园|《猫娘乐园》中，关于桂，下列说明正确的是？|美国卷耳猫，2 岁，怕黑|苏格兰折耳猫（苏格兰折耳），2 岁，是猫们的「妈妈」，对胸部最有自信|曼基康猫，3 岁，是长女|缅因猫，1 岁，身材高挑丰满|1|桂是悠闲笑眯眯的疗愈系，被其他猫娘当作「妈妈」般的存在；她是苏格兰折耳猫（苏格兰折耳），Vol.1 时点 2 岁，对胸部最有自信。
猫娘乐园|《猫娘乐园》中，关于可可夏（椰子），下列说明正确的是？|曼基康猫，3 岁，是长女|混种，9 个月，是双胞胎之一|缅因猫，1 岁，对主人时雨忠诚，身体能力超群但手极笨|苏格兰折耳猫，2 岁，对胸部最有自信|2|椰子是缅因猫，Vol.1 时点 1 岁，是仅次于巧克力与香草的年幼者；她身材高挑丰满，对主人时雨忠诚，身体能力超群却手极笨。
拔作岛|《拔作岛》中，第1作的日文原题（完整标题，含括号内自称）是下列哪一项？|住在像拔作游戏一样的岛上的贫乳（我）该如何是好？|住在像拔作游戏一样的岛上的丑女该如何是好？|住在像拔作游戏一样的岛上的贫乳该如何是好？|住在像拔作游戏一样的岛上的巨乳该如何是好？|0|第1作日文原题为『住在像拔作游戏一样的岛上的贫乳（我）该如何是好？』，简称「拔作岛」。「丑女」是企划阶段的旧标题。
拔作岛|《拔作岛》中，官方对第1作的类型宣传语是什么？|时尚风格逃亡与战斗 ADV|纯爱日常冒险|悬疑推理冒险|模拟养成|0|第1作的类型宣传语是「绝不输给婊子的时尚逃亡与战斗 ADV」，配合副标题「Is the island Utopia or Dystopia?」。
拔作岛|第1作的主人公橘淳之介在《拔作岛》的故事中的身份是？|FS 学生组织的一番队队长|水乃月学园学生会长|青蓝岛知事的秘书|反交尾势力 NLNS 的创立者兼首领|3|橘淳之介是第1作主人公，NLNS（No Love No Sex）的创立者兼首领，水乃月学园A等部2年1组，NLNS 识别编号 ATM-01。
拔作岛|《拔作岛》中，橘麻沙音与橘淳之介的关系以及她在 NLNS 中的定位是？|同班同学，NLNS 队长|亲妹妹，NLNS 成员，从技术层面支援破坏条例|学姐，NLNS 的狙击手|表妹，FS 学生会议员|1|橘麻沙音是淳之介的亲妹妹，水乃月学园A等部1年1组，NLNS 成员，兴趣是在网上和人吵架，从技术层面支援破坏条例；《拔作岛2》中她升格为可攻略女主角。
拔作岛|《拔作岛》中，片桐奈奈濑在岛上的风评与实际情况分别是？|真正的千人斩，并引以为傲|毫无存在感，无人记得她|被传为「史上最强婊子」，实际上仍是处女|因外表幼小，从没有人约过她|2|片桐奈奈濑是青蓝岛有名的辣妹，被传为「史上最强婊子」，甚至有「童贞500人斩」的传闻，但她实际上仍是处女，只是利用这种风评来躲避强制性行为。
拔作岛|《拔作岛》中，渡会雏见一直守住处女之身的主要原因是什么？|因外表幼小，没有人约她|因为她立志遵守条例|因为她是 FS 的指导教官|因为她患有疾病|0|渡会雏见身高仅139cm，是主要角色中最矮、最平胸者，因外表幼小没人约她，反而一直守住处女之身；身高太矮够不到高处，她随身携带折叠椅。
拔作岛|《拔作岛》中，下列哪一位角色的特征是「存在感极稀薄，周围的人几乎察觉不到她」？|冷泉院桐香|畔美岬|糺川礼|女部田郁子|1|畔美岬存在感极稀薄，周围人几乎察觉不到她；她对自身体型有自卑感、不想裸露，因此逃避强制性行为，平时内向但对亲近的人爱耍宝。
拔作岛|《拔作岛》中，在青蓝岛，「非性产者」指的是什么人？|尚未达到条例规定年龄的人|从岛外迁入的观光客|FS 学生组织的成员|拒绝遵守猥琐条例所要求行为的人|3|「性产行为」指猥琐性行为或准性行为，遵守条例者被称为「性产者」，拒绝者即「非性产者」，会受到几乎等同犯罪的处罚。
拔作岛|《拔作岛》中，青蓝岛的招牌条例「色情条例」第一条的主旨是什么？|推荐在青蓝岛上进行猥琐交尾|禁止在公共场所进行性行为|规定岛民必须生育两个孩子|禁止未成年人观看猥琐内容|0|条例第一条以「本条例推荐在青蓝岛进行色情交尾」开头，目的是对抗人口减少，使岛上任何地方都可以进行性行为并加以推荐。
拔作岛|《拔作岛》中，在学园内彻底执行对「非性产者」的取缔、反抗者会被处以「断头台之刑」的学生组织是？|NLNS（No Love No Sex）|SS 亲卫队|青蓝岛观光協会|FS（Future SHO）|3|FS（Future SHO）负责取缔非性产者并强制条例遵守，反抗者会被处以断头台之刑；其原名为「SS」，为避免与纳粹 SS 产生联想，英文与中文版改为 FS。
拔作岛|《拔作岛》中，被称为「FS三巨头（SS 三巨头）」的三位核心人物是？|冷泉院桐香、糺川礼、女部田郁子|橘淳之介、片桐奈奈濑、畔美岬|渡会雏见、琴寄文乃、花丸蘭|冷泉院桐香、橘麻沙音、那賀伊波|0|FS三巨头为领袖冷泉院桐香、大队长糺川礼、一番队（突击部队）队长女部田郁子；三人在《拔作岛2》中升格为主女主角。
拔作岛|《拔作岛2》中，淳之介与 FS 三巨头被传送到平行世界的契机是什么？|被神秘老人绑架|在体高潮祭上触发了陷阱|从社交网站「Onatter」得知并使用了某款飞机杯|在断头台船上被处刑|2|第2作中淳之介从绅士变态聚集的社交网站「Onatter」听说某款飞机杯，使用时被强光包裹，与恰好在场的 FS 三巨头一同被传送到异世界，一个以「Sex Emperor（性帝）」之名拥有绝对权力的平行世界。
拔作岛|《拔作岛》中，NLNS 获得神秘有钱老人资助的条件是什么？|摧毁水乃月学园|找到某个人并不顾一切保护她|暗杀青蓝岛知事|夺取断头台船|1|NLNS 的资助者提供秘密基地与大量资金，条件是「找到某个人，并不顾一切保护她」，该人物即被称为「浅色头发的少女」的琴寄文乃。
拔作岛|《拔作岛》中，琴寄文乃在第1作中以什么形象与方式支援 NLNS？|戴面具的驾驶员，骑自行车冲锋|和服少女形象，持狙击枪进行远距离支援|学生会长，负责提供资金|吉祥物人偶，负责潜入情报|1|琴寄文乃被称为「浅色头发的少女」，以和服少女形象持狙击枪进行远距离狙击支援 NLNS，身份最初被隐藏；动画第5话中她与美岬一同前往色情乐园讨伐仁浦知事。
东方Project|东方 Project 的故事舞台主要位于哪里？|幻想乡|常世|学园都市|异世界 SEKAI|0|幻想乡是被结界隔离的世外之地，人类与妖怪在此共存。
东方Project|东方 Project 正作游戏的主要类型是？|纵版弹幕射击|横版动作|格斗对战|角色扮演|0|东方正作为纵版弹幕射击游戏，另有格斗等外传作品。
东方Project|东方 Project 中，博丽神社的巫女、系列最核心的主角是？|博丽灵梦|雾雨魔理沙|十六夜咲夜|东风谷早苗|0|博丽灵梦是博丽神社的巫女，负责维持幻想乡的平衡。
东方Project|东方 Project 中，另一位固定主角「雾雨魔理沙」的职业是？|普通魔法使|巫女|女仆|吸血鬼|0|魔理沙住在魔法森林，自称「普通的魔法使」。
东方Project|东方 Project 中，博丽灵梦的种族是？|人类|妖怪|半妖|神明|0|灵梦是人类，以巫女身份解决幻想乡的异变。
东方Project|东方 Project 中，符卡规则的主要作用是？|让战斗更华丽且降低致命性|禁止妖怪战斗|决定角色等级|记录战斗成绩|0|符卡规则让妖怪与人类的战斗以华丽且相对安全的方式进行。
东方Project|东方 Project 中，被称为「隙间妖怪」的是？|八云紫|八云蓝|风见幽香|西行寺幽幽子|0|八云紫常以隙间（境界的缝隙）移动，故有此称。
东方Project|东方 Project 中，拥有「操纵境界」能力、被称为「妖怪贤者」的是？|八云紫|八意永琳|蓬莱山辉夜|风见幽香|0|八云紫能够操纵境界，是幻想乡建立的关键人物之一。
东方Project|东方 Project 中，八云紫的式神是？|八云蓝|橙|幽谷响子|茨木华扇|0|八云蓝是八云紫的式神，而橙又是蓝的式神。
东方Project|东方 Project 中，「八云蓝」的尾巴数量是？|九条|一条|三条|六条|0|八云蓝是九尾狐，因此有九条尾巴。
东方Project|《东方红魔乡》中，红魔馆的主人是谁？|蕾米莉亚·斯卡雷特|芙兰朵露·斯卡雷特|十六夜咲夜|帕秋莉·诺蕾姬|0|蕾米莉亚·斯卡雷特是吸血鬼，红魔馆的主人。
东方Project|东方 Project 中，红魔馆里担任女仆长、能够操纵时间的是？|十六夜咲夜|小野冢小町|红美铃|琪露诺|0|十六夜咲夜拥有操纵时间的能力，是红魔馆的女仆长。
